row_key,key,source,famer_keys,famer_brand_list,famer_model_list,famer_model_no_list,famer_keys,famer_product_name,famer_weight,famer_digital_zoom,famer_optical_zoom,famer_height,famer_width,famer_sensor,model_no_list,famer_mpn_list,famer_ean_list
1,5f3ba61e3fd5b671b220024a,buy.net,oly3,olympus,tg3,3,oly3,olympusstylustoughtg3,0.54,4.0,4.0,2.6,4.4,CMOS,/,/,/
2,5f3ba61e3fd5b671b220025e,buy.net,nik600,nikon,p600,600,nik600,nikoncoolpixp600,1.24,4.0,60.0,3.4,5.0,CMOS,/,/,/
3,5f3ba61e3fd5b671b220027a,buy.net,col2,coleman,2v7wpo,2,col2,coleman2v7wpo,0.40,8.0,,2.5,3.8,CMOS,/,/,/
4,5f3ba61e3fd5b671b2200281,buy.net,lei6,leica,dlux6,6,lei6,leicadlux6,0.65,4.0,3.8,2.6,4.4,CMOS,/,/,/
5,5f3ba61e3fd5b671b2200297,buy.net,son100-2,sony,dscrx100m,100-2,son100-2,sonydscrx100m,0.47,14.0,3.6,2.3,4.0,Exmor CMOS,/,/,/
6,5f3ba61e3fd5b671b220029d,buy.net,nik3600,nikon,s3600,3600,nik3600,nikoncoolpixs3600,0.28,4.0,8.0,2.3,3.9,CCD,/,/,/
7,5f3ba61e3fd5b671b220029e,buy.net,nik1,nikon,aw1,1,nik1,nikonaw1,,,,,,,/,/,/
8,5f3ba61e3fd5b671b22002a7,buy.net,pan40,panasonic,dmczs40,40,pan40,panasoniclumixdmczs40,0.03,4.0,30.0,2.53,4.35,CMOS,/,/,/
9,5f3ba61e3fd5b671b22002a9,buy.net,pol326,polaroid,is326,326,pol326,polaroidis326,,4.0,3.0,,,CMOS,/,/,/
10,5f3ba61e3fd5b671b22002ab,buy.net,nik4,nikon,d4s,4,nik4,nikond4s,2.60,,,6.2,6.3,CMOS,/,/,/
11,5f3ba61e3fd5b671b22002e1,buy.net,viv46,vivitar,vivicam46,46,viv46,vivitarvivicam46,,4.0,,7.25,9.75,CMOS,/,/,/
12,5f3ba61e3fd5b671b22002e8,buy.net,sam2000,samsung,nx2000,2000,sam2000,samsungnx2000,0.50,,2.5142,2.5,4.7,CMOS,/,/,/
13,5f3ba61e3fd5b671b22002fa,buy.net,nik120,nikon,aw120,120,nik120,nikoncoolpixaw120,0.47,4.0,5.0,2.6,4.4,CMOS,/,/,/
14,5f3ba61e3fd5b671b2200305,buy.net,son400,sony,dschx400,400,son400,sonycybershotdschx400,0.09,50.0,50.0,3.75,5.13,CMOS,/,/,/
15,5f3ba61e3fd5b671b220030a,buy.net,sam820,samsung,sl820,820,sam820,samsungsl820,0.31,5.0,5.0,2.3,3.7,CCD,/,/,/
16,5f3ba61e3fd5b671b220030d,buy.net,can,canon,eos,,can,canoneosrebel,0.99,,,3.8,5.0,CMOS,/,/,/
17,5f3ba61e3fd5b671b220030e,buy.net,nik5200,nikon,s5200,5200,nik5200,nikoncoolpixs5200,0.32,4.0,6.0,2.3,3.9,CMOS,/,/,/
18,5f3ba61e3fd5b671b220030f,buy.net,sam120,samsung,gc120,120,sam120,samsunggalaxygc120,0.67,,21.0,2.8,5.1,CMOS,/,/,/
19,5f3ba61e3fd5b671b2200316,buy.net,can5,canon,t5i,5,can5,canoneosrebelt5i,0.07,,3.1,3.9,5.2,CMOS,/,/,/
20,5f3ba61e3fd5b671b2200322,buy.net,nik6500,nikon,s6500,6500,nik6500,nikoncoolpixs6500,0.34,4.0,12.0,2.3,3.8,CMOS,/,/,/
21,5f3ba61e3fd5b671b2200327,buy.net,nik230,nikon,s230,230,nik230,nikoncoolpixs230,0.26,4.0,3.0,2.2,3.6,CCD,/,/,/
22,5f3ba61e3fd5b671b2200333,buy.net,son6000,sony,a6000,6000,son6000,sonyalphaa6000,0.63,4.0,3.0,2.88,4.75,CMOS,/,/,/
23,5f3ba61e3fd5b671b2200340,buy.net,nik6800,nikon,s6800,6800,nik6800,nikoncoolpixs6800,0.33,4.0,12.0,2.3,3.9,CMOS,/,/,/
24,5f3ba61e3fd5b671b2200346,buy.net,can170,canon,sx170,170,can170,canonpowershotsx170,0.50,4.0,16.0,2.8,4.3,CCD,/,/,/
25,5f3ba61e3fd5b671b220034f,buy.net,fuj1,fujifilm,xm1,1,fuj1,fujifilmxm1,0.62,,,2.6,4.6,CMOS,/,/,/
26,5f3ba61e3fd5b671b2200362,buy.net,nik1,nikon,aw1,1,nik1,nikon1aw1,,,,,,,/,/,/
27,5f3ba61e3fd5b671b220036f,buy.net,sam35,samsung,wb35f,35,sam35,samsungwb35f,0.32,2.0,12.0,2.4,4.0,CCD,/,/,/
28,5f3ba61e3fd5b671b220037c,buy.net,nik1,nikon,j1,1,nik1,nikonj1,0.52,,313.72,2.4,4.2,CMOS,/,/,/
29,5f3ba61e3fd5b671b220038c,buy.net,pan1,panasonic,dmcxs1,1,pan1,panasoniclumixdmcxs1,0.19,4.0,5.0,2.1,3.7,CCD,/,/,/
30,5f3ba61e3fd5b671b2200395,buy.net,can260,canon,sx260,260,can260,canonpowershotsx260,0.46,4.0,20.0,2.4,4.2,CMOS,/,/,/
31,5f3ba61e3fd5b671b22003a5,buy.net,nik2,nikon,j2,2,nik2,nikon1j2,0.53,,313.62,2.4,4.2,CMOS,/,/,/
32,5f3ba61e3fd5b671b2200244,buy.net,oly630,olympus,tg630,630,oly630,olympustoughtg630,0.37,4.0,5.0,2.6,3.9,CMOS,/,/,/
33,5f3ba61e3fd5b671b220024c,buy.net,oly50,olympus,sh50,50,oly50,olympussh50,0.59,4.0,24.0,2.5,4.4,CMOS,/,/,/
34,5f3ba61e3fd5b671b2200256,buy.net,nik9500,nikon,s9500,9500,nik9500,nikoncoolpixs9500,0.45,4.0,22.0,2.4,4.3,CMOS,/,/,/
35,5f3ba61e3fd5b671b2200257,buy.net,sam800,samsung,wb800f,800,sam800,samsungwb800f,0.48,5.0,21.0,2.4,4.2,BSI CMOS,/,/,/
36,5f3ba61e3fd5b671b220025a,buy.net,pan6,panasonic,dmcgf6,6,pan6,panasoniclumixdmcgf6,,,,,,,/,/,/
37,5f3ba61e3fd5b671b2200272,buy.net,son1,sony,dscrx1r,1,son1,sonycybershotdscrx1r,0.07,14.0,2.0,2.6,4.5,Exmor CMOS,/,/,/
38,5f3ba61e3fd5b671b2200277,buy.net,son7,sony,a7r,7,son7,sonya7r,0.90,4.0,,3.7,5.0,Exmor APS HD CMOS sensor,/,/,/
39,5f3ba61e3fd5b671b2200280,buy.net,dat24,datamaxo,ribbon24,24,dat24,datamaxoneilsdrlabelribbon24,0.96,5.0,26.0,3.5,4.3,CCD,/,/,/
40,5f3ba61e3fd5b671b2200293,buy.net,can2,canon,t2i,2,can2,canoneosrebelt2i,0.07,,3.1,3.8,5.1,,/,/,/
41,5f3ba61e3fd5b671b22002c6,buy.net,pan6,panasonic,dmcg6kk,6,pan6,panasoniclumixgseriesdmcg6kk,0.07,2.0,,3.3,4.4,CMOS,/,/,/
42,5f3ba61e3fd5b671b22002cb,buy.net,fuj600,fujifilm,jx600,600,fuj600,fujifilmfinepixjx600,6.06,6.7,5.0,2.2,3.7,CCD,/,/,/
43,5f3ba61e3fd5b671b22002ff,buy.net,son5,sony,nex5t,5,son5,sonyalphanex5t,,4.0,3.0,,,CMOS,/,/,/
44,5f3ba61e3fd5b671b2200304,buy.net,can60,canon,60d,60,can60,canoneos60d,0.09,,,4.2,5.7,CMOS,/,/,/
45,5f3ba61e3fd5b671b2200309,buy.net,son10,sony,dscrx10,10,son10,sonycybershotdscrx10,0.11,249.0,8.3,3.5,4.12,CMOS,/,/,/
46,5f3ba61e3fd5b671b2200319,buy.net,lei12,leica,gold12,12,lei12,leicaclightgold12,0.38,4.0,7.0,2.48,4.06,CMOS,/,/,/
47,5f3ba61e3fd5b671b220031f,buy.net,kod803,kodak,v803,803,kod803,kodakeasysharev803,0.31,4.0,3.0,2.1,4.1,CCD,/,/,/
48,5f3ba61e3fd5b671b2200326,buy.net,son5000,sony,ilce5000l,5000,son5000,sonyalphailce5000l,0.46,2.0,3.1,2.5,4.3,Exmor APS HD CMOS sensor,/,/,/
49,5f3ba61e3fd5b671b220032f,buy.net,can150,canon,powershot150,150,can150,canonpowershot150,0.28,4.0,10.0,2.2,3.8,CCD,/,/,/
50,5f3ba61e3fd5b671b2200330,buy.net,son100,sony,rx100,100,son100,sonycybershotrx100,0.47,14.0,3.6,2.3,4.0,Exmor CMOS,/,/,/
51,5f3ba61e3fd5b671b2200334,buy.net,can70,canon,70d,70,can70,canoneos70d,0.09,,7.5,4.1,5.5,CMOS,/,/,/
52,5f3ba61e3fd5b671b220033f,buy.net,lei6,leica,dlux6,6,lei6,leicadlux6,0.65,4.0,3.8,2.6,4.4,CMOS,/,/,/
53,5f3ba61e3fd5b671b2200347,buy.net,can340,canon,powershot340,340,can340,canonpowershot340,0.32,4.0,12.0,2.3,3.9,CMOS,/,/,/
54,5f3ba61e3fd5b671b220034e,buy.net,can30,canon,d30,30,can30,canonpowershotd30,0.43,4.0,5.0,2.68,4.31,CMOS,/,/,/
55,5f3ba61e3fd5b671b220036e,buy.net,can60,canon,sx60,60,can60,canonpowershotsx60,,,,,,,/,/,/
56,5f3ba61e3fd5b671b2200377,buy.net,nik300,nikon,d300,300,nik300,nikond300,,,,,,,/,/,/
57,5f3ba61e3fd5b671b2200380,buy.net,son300,sony,dschx300,300,son300,sonycybershotdschx300,0.09,200.0,50.0,3.7,5.1,Exmor R CMOS,/,/,/
58,5f3ba61e3fd5b671b2200394,buy.net,son6000,sony,a6000,6000,son6000,sonyalphaa6000,0.63,4.0,3.0,2.88,4.75,CMOS,/,/,/
59,5f3ba61e3fd5b671b22003a4,buy.net,can5-3,canon,5d,5-3,can5-3,canoneos5d,1.89,,,4.6,6.0,CMOS,/,/,/
60,5f3ba61e3fd5b671b2200241,buy.net,nik4,nikon,d4,4,nik4,nikond4,0.16,,,6.2,6.3,CMOS,/,/,/
61,5f3ba61e3fd5b671b2200251,buy.net,oly5,olympus,ep5,5,oly5,olympusep5,0.83,4.0,1.48,2.71,4.81,CMOS,/,/,/
62,5f3ba61e3fd5b671b2200258,buy.net,pan1,panasonic,dmcgm1,1,pan1,panasoniclumixdmcgm1,,,,,,,/,/,/
63,5f3ba61e3fd5b671b2200260,buy.net,can135,canon,powershot135,135,can135,canonpowershot135,0.25,4.0,8.0,2.1,3.8,CCD,/,/,/
64,5f3ba61e3fd5b671b2200263,buy.net,nik90,nikon,d90,90,nik90,nikond90,,,,,,,/,/,/
65,5f3ba61e3fd5b671b2200284,buy.net,son77,sony,slta77vm,77,son77,sonyalphaslta77vm,0.09,,7.5,4.1,5.6,Exmor APS HD CMOS sensor,/,/,/
66,5f3ba61e3fd5b671b2200295,buy.net,nik1,nikon,j1,1,nik1,nikonj1,0.52,,3.0,2.4,4.2,CMOS,/,/,/
67,5f3ba61e3fd5b671b22002a2,buy.net,oly850,olympus,tg850,850,oly850,olympustg850,0.48,4.0,5.0,2.5,4.3,CMOS,/,/,/
68,5f3ba61e3fd5b671b22002ae,buy.net,fuj8600,fujifilm,s8600,8600,fuj8600,fujifilmfinepixs8600,0.84,2.0,36.0,3.2,4.8,CCD,/,/,/
69,5f3ba61e3fd5b671b22002b0,buy.net,fuj2,fujifilm,xe2,2,fuj2,fujifilmxe2,,,,,,,/,/,/
70,5f3ba61e3fd5b671b22002bd,buy.net,can140,canon,powershot140,140,can140,canonpowershot140,0.25,4.0,8.0,2.1,3.8,CCD,/,/,/
71,5f3ba61e3fd5b671b22002de,buy.net,sam350,samsung,wb350f,350,sam350,samsungwb350f,0.48,9.4,21.0,2.6,4.5,BSI CMOS,/,/,/
72,5f3ba61e3fd5b671b22002e0,buy.net,son3000,sony,a3000,3000,son3000,sonyalphaa3000,0.78,4.0,3.0,3.63,5.13,CMOS,/,/,/
73,5f3ba61e3fd5b671b22002ec,buy.net,nik90,nikon,d90,90,nik90,nikond90,,,,,,,/,/,/
74,5f3ba61e3fd5b671b22002f5,buy.net,viv30,vivitar,x30,30,viv30,vivitarvivicamx30,,,,,,,/,/,/
75,5f3ba61e3fd5b671b22002f8,buy.net,can110,canon,s110,110,can110,canonpowershots110,0.38,4.0,5.0,2.3,3.9,CMOS,/,/,/
76,5f3ba61e3fd5b671b22002fe,buy.net,can115,canon,powershot115,115,can115,canonpowershot115,0.26,4.0,8.0,2.1,3.7,CCD,/,/,/
77,5f3ba61e3fd5b671b220030b,buy.net,nik610,nikon,d610,610,nik610,nikond610,1.68,,,4.4,5.6,CMOS,/,/,/
78,5f3ba61e3fd5b671b2200317,buy.net,ori,orion,telescopes,,ori,oriontelescopesstarshoot,0.19,,,2.0,3.2,,/,/,/
79,5f3ba61e3fd5b671b220031a,buy.net,pan1,panasonic,dmclf1k,1,pan1,panasoniclumixdmclf1k,0.38,4.0,7.1,2.4,4.0,MOS,/,/,/
80,5f3ba61e3fd5b671b220031c,buy.net,nik3,nikon,d3x,3,nik3,nikond3x,0.17,,,6.2,6.3,CMOS,/,/,/
81,5f3ba61e3fd5b671b220033d,buy.net,nik620,nikon,l620,620,nik620,nikoncoolpixl620,0.53,2.0,14.0,2.8,4.3,CMOS,/,/,/
82,5f3ba61e3fd5b671b2200348,buy.net,pen50,pentax,k50,50,pen50,pentaxk50,1.30,,,3.8,5.1,CMOS,/,/,/
83,5f3ba61e3fd5b671b2200350,buy.net,nik5300,nikon,d5300,5300,nik5300,nikond5300,0.07,,,3.9,4.9,CMOS,/,/,/
84,5f3ba61e3fd5b671b2200360,buy.net,fuj1,fujifilm,xe1,1,fuj1,fujifilmxe1,0.66,,,2.9,5.1,CMOS,/,/,/
85,5f3ba61e3fd5b671b2200364,buy.net,fuj33,fujifilm,z33wp,33,fuj33,fujifilmfinepixz33wp,0.24,5.7,3.0,2.3,3.6,CCD,/,/,/
86,5f3ba61e3fd5b671b2200373,buy.net,pan40,panasonic,dmczs40,40,pan40,panasoniclumixdmczs40,0.03,4.0,30.0,2.53,4.35,CMOS,/,/,/
87,5f3ba61e3fd5b671b220039a,buy.net,fuj680,fuji,jx680,680,fuj680,fujiblowersfinepixjx680,0.23,7.2,5.0,2.2,3.7,CCD,/,/,/
88,5f3ba61e3fd5b671b2200246,buy.net,pan1,panasonic,dmcxs1,1,pan1,panasoniclumixdmcxs1,0.19,4.0,5.0,2.1,3.7,CCD,/,/,/
89,5f3ba61e3fd5b671b220024b,buy.net,pen7,pentax,q7,7,pen7,pentaxq7,0.40,,,2.3,4.0,CMOS,/,/,/
90,5f3ba61e3fd5b671b2200254,buy.net,can5-3,canon,5d,5-3,can5-3,canoneos5d,1.89,,4.37,4.6,6.0,CMOS,/,/,/
91,5f3ba61e3fd5b671b220025c,buy.net,nik3,nikon,v3,3,nik3,nikonv3,0.71,,,2.6,4.4,CMOS,/,/,/
92,5f3ba61e3fd5b671b2200267,buy.net,pan70,panasonic,dmcfz70,70,pan70,panasoniclumixdmcfz70,0.08,5.0,60.0,3.8,5.1,MOS,/,/,/
93,5f3ba61e3fd5b671b220027e,buy.net,fuj1,fujifilm,s1,1,fuj1,fujifilmfinepixs1,1.41,2.0,50.0,3.6,5.2,CMOS,/,/,/
94,5f3ba61e3fd5b671b2200289,buy.net,can3,canon,t3i,3,can3,canoneosrebelt3i,1.14,,3.0,3.9,5.2,CMOS,/,/,/
95,5f3ba61e3fd5b671b220028e,buy.net,fuj680,fuji,jx680,680,fuj680,fujiblowersfinepixjx680,0.23,7.2,5.0,2.2,3.7,CCD,/,/,/
96,5f3ba61e3fd5b671b22002a4,buy.net,oly10,olympus,em10,10,oly10,olympusomdem10,0.88,,,3.2,4.7,CMOS,/,/,/
97,5f3ba61e3fd5b671b22002c4,buy.net,nik1,nikon,v1,1,nik1,nikonv1,0.65,,3.0,3.0,4.4,CMOS,/,/,/
98,5f3ba61e3fd5b671b22002ce,buy.net,sam350,samsung,wb350f,350,sam350,samsungwb350f,0.48,9.4,21.0,2.6,4.5,BSI CMOS,/,/,/
99,5f3ba61e3fd5b671b22002cf,buy.net,lei10770,leica,10770,10770,lei10770,leica10770,1.49,,0.68,3.14,5.47,CMOS,/,/,/
100,5f3ba61e3fd5b671b22002d2,buy.net,son10,sony,dscqx10,10,son10,sonydscqx10,0.36,,10.0,1.19,2.5,CMOS,/,/,/
101,5f3ba61e3fd5b671b22002d5,buy.net,nik610,nikon,d610,610,nik610,nikond610,0.10,,10.7,4.4,5.6,CMOS,/,/,/
102,5f3ba61e3fd5b671b22002d7,buy.net,son350,sony,dscwx350,350,son350,sonydscwx350,0.30,4.0,20.0,2.25,3.88,CMOS,/,/,/
103,5f3ba61e3fd5b671b22002f9,buy.net,son400,sony,dsch400,400,son400,sonycybershotdsch400,0.39,126.0,63.0,3.7,5.1,Super HAD CCD,/,/,/
104,5f3ba61e3fd5b671b2200306,buy.net,pen50,pentax,k50,50,pen50,pentaxk50,,,,,,,/,/,/
105,5f3ba61e3fd5b671b2200311,buy.net,pan30,panasonic,dmcfz30,30,pan30,panasoniclumixdmcfz30,,,,,,,/,/,/
106,5f3ba61e3fd5b671b2200312,buy.net,fuj40,fuji,f40fd,40,fuj40,fujiblowersfinepixf40fd,0.39,6.9,3.0,2.3,3.8,CCD,/,/,/
107,5f3ba61e3fd5b671b220031d,buy.net,sam100,samsung,ekgc100,100,sam100,samsunggalaxyekgc100,0.69,,21.0,2.79,5.07,CMOS,/,/,/
108,5f3ba61e3fd5b671b2200329,buy.net,nik16,nikon,slr16,16,nik16,nikondfslr16,1.56,,,4.3,5.6,CMOS,/,/,/
109,5f3ba61e3fd5b671b220032d,buy.net,nik810,nikon,l810,810,nik810,nikoncoolpixl810,0.95,4.0,26.0,3.0,4.4,CCD,/,/,/
110,5f3ba61e3fd5b671b220036b,buy.net,oly830,olympus,tg830,830,oly830,olympustoughtg830,0.47,4.0,5.0,2.6,4.3,CMOS,/,/,/
111,5f3ba61e3fd5b671b2200387,buy.net,nik5300,nikon,d5300,5300,nik5300,nikond5300,1.06,,,3.9,4.92,CMOS,/,/,/
112,5f3ba61e3fd5b671b2200243,buy.net,pen7,pentax,q7,7,pen7,pentaxq7,0.44,,,2.28,4.02,CMOS,/,/,/
113,5f3ba61e3fd5b671b2200259,buy.net,can7-2,canon,7d,7-2,can7-2,canoneos7d,,,,,,,/,/,/
114,5f3ba61e3fd5b671b2200261,buy.net,pen3,pentax,k3,3,pen3,pentaxk3,1.76,,,3.94,5.17,CMOS,/,/,/
115,5f3ba61e3fd5b671b2200290,buy.net,pan48,panasonic,dmcfx48,48,pan48,panasoniclumixdmcfx48,0.28,4.0,5.0,2.1,3.8,CCD,/,/,/
116,5f3ba61e3fd5b671b220029c,buy.net,can530,canon,elph530,530,can530,canonpowershotelph530,0.31,4.0,12.0,2.1,3.4,CMOS,/,/,/
117,5f3ba61e3fd5b671b22002a3,buy.net,pan1,panasonic,dmcgm1ks,1,pan1,panasoniclumixdmcgm1ks,0.46,,,2.2,3.9,CMOS,/,/,/
118,5f3ba61e3fd5b671b22002a8,buy.net,nik5200,nikon,s5200,5200,nik5200,nikoncoolpixs5200,0.33,4.0,6.0,2.3,3.9,CMOS,/,/,/
119,5f3ba61e3fd5b671b22002b2,buy.net,nik16,nikon,slr16,16,nik16,nikondfslr16,1.56,,,4.3,5.6,CMOS,/,/,/
