row_key,key,source,famer_keys,famer_brand_list,famer_model_list,famer_model_no_list,famer_keys,famer_product_name,famer_weight,famer_digital_zoom,famer_optical_zoom,famer_height,famer_width,famer_sensor,model_no_list,famer_mpn_list,famer_ean_list
239,5f3ba61e3fd5b671b2200345,buy.net,fuj1,fujifilm,xm1,1,fuj1,fujifilmxm1,0.62,,,2.6,4.6,CMOS,/,/,/
240,5f3ba61e3fd5b671b220034d,buy.net,iri1,iris,scb1,1,iri1,irisusascb1,,,,,,,/,/,/
241,5f3ba61e3fd5b671b2200355,buy.net,pan7,panasonic,dmcgx7,7,pan7,panasoniclumixdmcgx7,0.07,4.0,,,,CMOS,/,/,/
242,5f3ba61e3fd5b671b220035d,buy.net,nik3300,nikon,d3300,3300,nik3300,nikond3300,0.94,,,3.9,4.9,CMOS,/,/,/
243,5f3ba61e3fd5b671b220036d,buy.net,nik32,nikon,s32,32,nik32,nikoncoolpixs32,0.39,4.0,3.0,2.7,4.3,CMOS,/,/,/
244,5f3ba61e3fd5b671b2200374,buy.net,can70,canon,70d,70,can70,canoneos70d,0.09,,3.1,4.1,5.5,CMOS,/,/,/
245,5f3ba61e3fd5b671b2200376,buy.net,pan162,panasonic,wvst162,162,pan162,panasoniciprosmarthdwvst162,0.76,8.0,,3.9,3.9,MOS,/,/,/
246,5f3ba61e3fd5b671b2200379,buy.net,nik28,nikon,l28,28,nik28,nikoncoolpixl28,0.36,4.0,5.0,2.4,3.8,CCD,/,/,/
247,5f3ba61e3fd5b671b220037f,buy.net,oly2,olympus,xz2,2,oly2,olympusstylusxz2,0.76,4.0,4.0,2.6,4.4,CMOS,/,/,/
248,5f3ba61e3fd5b671b220038b,buy.net,sam350,samsung,wb350f,350,sam350,samsungwb350f,0.48,9.4,21.0,2.6,4.5,BSI CMOS,/,/,/
249,5f3ba61e3fd5b671b2200399,buy.net,can310,canon,ixus310,310,can310,canonixus310,0.41,4.0,4.4,2.2,4.0,BSI CMOS,/,/,/
250,5f3ba61e3fd5b671b22003a1,buy.net,can150,canon,powershot150,150,can150,canonpowershot150,0.28,4.0,10.0,2.2,3.8,CCD,/,/,/
251,5f3ba61e3fd5b671b2200240,buy.net,oly1,olympus,sh1,1,oly1,olympusstylussh1,0.59,4.0,24.0,2.5,4.3,CMOS,/,/,/
252,5f3ba61e3fd5b671b2200248,buy.net,nik510,nikon,p510,510,nik510,nikoncoolpixp510,0.08,2.0,42.0,3.3,4.7,CMOS,/,/,/
253,5f3ba61e3fd5b671b220024e,buy.net,sam110,samsung,ekgc110,110,sam110,samsunggalaxyekgc110,0.66,,21.0,2.8,5.1,BSI CMOS,/,/,/
254,5f3ba61e3fd5b671b220024f,buy.net,can340,canon,elph340,340,can340,canonpowershotelph340,0.29,4.0,12.0,2.27,3.93,CMOS,/,/,/
255,5f3ba61e3fd5b671b2200250,buy.net,all355,allen,evc355bk,355,all355,allenevc355bk,,4.0,,,,,/,/,/
256,5f3ba61e3fd5b671b220025f,buy.net,fuj1,fujifilm,xm1,1,fuj1,fujifilmxm1,0.62,,,2.6,4.6,CMOS,/,/,/
257,5f3ba61e3fd5b671b2200270,buy.net,wil05,wildgame,l05,05,wil05,wildgameinnovationselite5lightsoutl05,,,,,,,/,/,/
258,5f3ba61e3fd5b671b220028a,buy.net,oly5020,olympus,fe5020,5020,oly5020,olympusfe5020,0.24,4.0,5.0,2.2,3.6,,/,/,/
259,5f3ba61e3fd5b671b2200291,buy.net,oly100,olympus,sp100,100,oly100,olympusstylussp100,1.32,4.0,50.0,3.6,4.8,CMOS,/,/,/
260,5f3ba61e3fd5b671b2200294,buy.net,fuj6800,fuji,s6800,6800,fuj6800,fujiblowersfinepixs6800,,,,,,,/,/,/
261,5f3ba61e3fd5b671b22002ba,buy.net,sam30,samsung,wb30f,30,sam30,samsungwb30f,0.29,5.0,10.0,2.3,3.9,CCD,/,/,/
262,5f3ba61e3fd5b671b22002e3,buy.net,fuj35,fuji,hs35exr,35,fuj35,fujiblowersfinepixhs35exr,0.09,2.0,30.0,3.8,5.1,EXR CMOS,/,/,/
263,5f3ba61e3fd5b671b22002e9,buy.net,pan1,panasonic,dmcgm1kd,1,pan1,panasoniclumixdmcgm1kd,0.02,4.0,,2.19,3.88,CMOS,/,/,/
264,5f3ba61e3fd5b671b22002f7,buy.net,oly7000,olympus,stylus7000,7000,oly7000,olympusstylus7000,0.29,5.0,7.0,2.2,3.8,,/,/,/
265,5f3ba61e3fd5b671b2200325,buy.net,fuj60,fujifilm,xp60,60,fuj60,fujifilmfinepixxp60,0.36,2.0,5.0,2.6,4.1,CMOS,/,/,/
266,5f3ba61e3fd5b671b220032c,buy.net,nik7100,nikon,d7100,7100,nik7100,nikondxformatd7100,1.49,1.0,5.5,4.2,5.3,CMOS,/,/,/
267,5f3ba61e3fd5b671b220033a,buy.net,can140,canon,powershot140,140,can140,canonpowershot140,0.25,4.0,8.0,2.1,3.8,CCD,/,/,/
268,5f3ba61e3fd5b671b2200353,buy.net,fuj9200,fujitsu,s9200,9200,fuj9200,fujitsus9200,1.27,2.0,50.0,3.4,4.8,CMOS,/,/,/
269,5f3ba61e3fd5b671b2200357,buy.net,fuj700,fujifilm,jx700,700,fuj700,fujifilmfinepixjx700,0.22,7.2,5.0,2.3,3.8,CCD,/,/,/
270,5f3ba61e3fd5b671b2200359,buy.net,can150,canon,powershot150,150,can150,canonpowershot150,0.28,4.0,10.0,2.2,3.8,CCD,/,/,/
271,5f3ba61e3fd5b671b220035e,buy.net,nik7100,nikon,d7100,7100,nik7100,nikond7100,0.09,,,4.2,5.3,CMOS,/,/,/
272,5f3ba61e3fd5b671b2200361,buy.net,fuj4800,fuji,s4800,4800,fuj4800,fujiblowersfinepixs4800,0.94,7.2,30.0,3.7,4.8,CCD,/,/,/
273,5f3ba61e3fd5b671b220038a,buy.net,sak326,sakar,is326blk,326,sak326,sakaris326blk,0.80,,21.0,5.4,6.7,CMOS,/,/,/
274,5f3ba61e3fd5b671b2200396,buy.net,oly830,olympus,tg830,830,oly830,olympustoughtg830,0.47,4.0,5.0,2.6,4.3,CMOS,/,/,/
275,5f3ba61e3fd5b671b2200398,buy.net,can2500,canon,a2500,2500,can2500,canonpowershota2500,0.24,4.0,5.0,2.2,3.8,CCD,/,/,/
276,5f3ba61e3fd5b671b220024d,buy.net,sam35,samsung,wb35f,35,sam35,samsungwb35f,0.32,2.0,12.0,2.4,4.0,CCD,/,/,/
277,5f3ba61e3fd5b671b2200265,buy.net,nik820,nikon,l820,820,nik820,nikoncoolpixl820,0.07,4.0,30.0,3.0,4.3,CMOS,/,/,/
278,5f3ba61e3fd5b671b2200271,buy.net,fuj100,fujifilm,x100s,100,fuj100,fujifilmx100s,0.98,,,2.9,5.0,CMOS,/,/,/
279,5f3ba61e3fd5b671b220027c,buy.net,fuj1,fujifilm,xa1,1,fuj1,fujifilmxa1,,,,,,,/,/,/
280,5f3ba61e3fd5b671b220027d,buy.net,son350,sony,dscwx350,350,son350,sonydscwx350,0.30,,20.0,2.25,3.88,CMOS,/,/,/
281,5f3ba61e3fd5b671b220028b,buy.net,son65,sony,slta65vl,65,son65,sonyslta65vl,0.07,,,3.88,5.25,CMOS,/,/,/
282,5f3ba61e3fd5b671b220028f,buy.net,son350,sony,dscwx350w,350,son350,sonydscwx350w,0.30,,20.0,2.25,3.88,CMOS,/,/,/
283,5f3ba61e3fd5b671b22002d8,buy.net,can150,canon,powershot150,150,can150,canonpowershot150,0.28,4.0,10.0,2.2,3.8,CCD,/,/,/
284,5f3ba61e3fd5b671b22002da,buy.net,pen30,pentax,k30,30,pen30,pentaxk30,1.30,,,3.8,5.1,CMOS,/,/,/
285,5f3ba61e3fd5b671b22002dd,buy.net,nik3200,nikon,d3200,3200,nik3200,nikond3200,1.00,,,3.8,5.0,CMOS,/,/,/
286,5f3ba61e3fd5b671b22002fc,buy.net,viv137,vivitar,x137,137,viv137,vivitarvivicamx137,,4.0,,,,,/,/,/
287,5f3ba61e3fd5b671b22002fd,buy.net,can4,canon,t4i,4,can4,canoneosrebelt4i,0.07,,3.1,3.9,5.2,CMOS,/,/,/
288,5f3ba61e3fd5b671b2200300,buy.net,pan4,panasonic,dmcgh4,4,pan4,panasoniclumixdmcgh4,1.06,4.0,,3.68,5.23,CMOS,/,/,/
289,5f3ba61e3fd5b671b2200302,buy.net,oly10,olympus,em10,10,oly10,olympusomdem10,0.88,,,3.2,4.7,CMOS,/,/,/
290,5f3ba61e3fd5b671b220030c,buy.net,nik5300,nikon,d5300,5300,nik5300,nikond5300,1.06,,7.8,3.9,4.92,CMOS,/,/,/
291,5f3ba61e3fd5b671b2200336,buy.net,fuj8500,fujifilm,s8500,8500,fuj8500,fujifilmfinepixs8500,1.27,2.0,46.0,3.4,4.8,CMOS,/,/,/
292,5f3ba61e3fd5b671b2200344,buy.net,vte,vtech,kidizoom,,vte,vtechkidizoomcompact,,2.0,,,,,/,/,/
293,5f3ba61e3fd5b671b2200356,buy.net,fuj1,fujifilm,xq1,1,fuj1,fujifilmxq1,0.41,4.0,4.0,2.3,3.9,CMOS,/,/,/
294,5f3ba61e3fd5b671b220035a,buy.net,kod128,kodak,zoom128,128,kod128,kodakzxdzoom128,0.20,2.0,,4.2,2.0,CMOS,/,/,/
295,5f3ba61e3fd5b671b2200371,buy.net,son30,sony,dsctx30,30,son30,sonycybershotdsctx30,0.28,2.0,5.0,2.3,3.8,Exmor R CMOS,/,/,/
296,5f3ba61e3fd5b671b2200375,buy.net,nik5200,nikon,d5200,5200,nik5200,nikond5200,0.07,,3.1,3.9,5.1,CMOS,/,/,/
297,5f3ba61e3fd5b671b2200378,buy.net,oly10,olympus,em10,10,oly10,olympusomdem10,0.87,,3.0,3.2,4.7,Live MOS,/,/,/
298,5f3ba61e3fd5b671b2200382,buy.net,son5000,sony,a5000,5000,son5000,sonyalphaa5000,0.46,,,2.5,4.38,CMOS,/,/,/
299,5f3ba61e3fd5b671b2200383,buy.net,fuj50,fuji,hs50exr,50,fuj50,fujiblowersfinepixhs50exr,0.10,20.0,42.0,4.0,5.3,EXR CMOS II,/,/,/
300,5f3ba61e3fd5b671b2200385,buy.net,can135,canon,powershot135,135,can135,canonpowershot135,0.25,4.0,8.0,2.1,3.8,CCD,/,/,/
301,5f3ba61e3fd5b671b2200252,buy.net,fuj1,fujifilm,xa1,1,fuj1,fujifilmxa1,0.62,,,2.6,4.6,CMOS,/,/,/
302,5f3ba61e3fd5b671b2200253,buy.net,son400,sony,dsch400,400,son400,sonycybershotdsch400,0.39,126.0,63.0,3.7,5.1,Super HAD CCD,/,/,/
303,5f3ba61e3fd5b671b2200255,buy.net,oly620,olympus,sp620uz,620,oly620,olympussp620uz,0.96,4.0,21.0,2.9,4.3,CCD,/,/,/
304,5f3ba61e3fd5b671b2200269,buy.net,oly2,olympus,tg2,2,oly2,olympustoughtg2,0.51,4.0,4.0,2.6,4.4,CMOS,/,/,/
305,5f3ba61e3fd5b671b220027b,buy.net,pen3,pentax,k3,3,pen3,pentaxk3,1.76,,,3.94,5.19,CMOS,/,/,/
306,5f3ba61e3fd5b671b220027f,buy.net,can700,canon,sx700,700,can700,canonpowershotsx700,0.54,4.0,30.0,2.59,4.44,CMOS,/,/,/
307,5f3ba61e3fd5b671b2200285,buy.net,pan4,panasonic,dmcgh4,4,pan4,panasoniclumixdmcgh4,1.06,4.0,,3.68,5.23,CMOS,/,/,/
308,5f3ba61e3fd5b671b220028c,buy.net,nik520,nikon,p520,520,nik520,nikoncoolpixp520,0.08,2.0,42.0,3.3,4.9,CMOS,/,/,/
309,5f3ba61e3fd5b671b2200296,buy.net,can7,canon,7d,7,can7,canoneos7d,0.11,,4.8,4.4,5.8,CMOS,/,/,/
310,5f3ba61e3fd5b671b220029a,buy.net,nik7000,nikon,d7000,7000,nik7000,nikond7000,0.10,,5.8,4.1,5.2,CMOS,/,/,/
311,5f3ba61e3fd5b671b220029b,buy.net,lei4,leica,vlux4,4,lei4,leicavlux4,0.08,4.0,24.0,3.4,4.9,CMOS,/,/,/
312,5f3ba61e3fd5b671b22002a5,buy.net,pen50,pentax,k50,50,pen50,pentaxk50,1.30,,,3.8,5.1,CMOS,/,/,/
313,5f3ba61e3fd5b671b22002b4,buy.net,sam350,samsung,wb350f,350,sam350,samsungwb350f,0.48,9.4,21.0,2.6,4.5,BSI CMOS,/,/,/
314,5f3ba61e3fd5b671b22002b7,buy.net,fuj1,fujifilm,xpro1,1,fuj1,fujifilmxpro1,0.88,,,3.2,5.5,X-Trans CMOS,/,/,/
315,5f3ba61e3fd5b671b22002bb,buy.net,nik610,nikon,d610,610,nik610,nikond610,1.68,,3.5,4.4,5.6,CMOS,/,/,/
316,5f3ba61e3fd5b671b22002c9,buy.net,can600,canon,sx600,600,can600,canonpowershotsx600,0.36,4.0,18.0,2.4,4.1,CMOS,/,/,/
317,5f3ba61e3fd5b671b22002e5,buy.net,son80,sony,dscwx80,80,son80,sonycybershotdscwx80,0.24,,8.0,2.1,3.6,Exmor R CMOS,/,/,/
318,5f3ba61e3fd5b671b22002ee,buy.net,sam30,samsung,wb30f,30,sam30,samsungwb30f,0.29,5.0,10.0,2.3,3.9,CCD,/,/,/
319,5f3ba61e3fd5b671b2200301,buy.net,can135,canon,powershot135,135,can135,canonpowershot135,0.25,4.0,8.0,2.1,3.8,CCD,/,/,/
320,5f3ba61e3fd5b671b2200313,buy.net,nik6800,nikon,s6800,6800,nik6800,nikoncoolpixs6800,0.33,4.0,12.0,2.3,3.9,CMOS,/,/,/
321,5f3ba61e3fd5b671b2200332,buy.net,pan50,panasonic,dmcfz50,50,pan50,panasoniclumixdmcfz50,,,,,,,/,/,/
322,5f3ba61e3fd5b671b2200337,buy.net,oly370,olympus,vr370,370,oly370,olympussmartvr370,0.38,4.0,12.5,2.4,4.1,CCD,/,/,/
323,5f3ba61e3fd5b671b2200349,buy.net,pen50,pentax,k50,50,pen50,pentaxk50,1.30,,,3.8,5.1,CMOS,/,/,/
324,5f3ba61e3fd5b671b220034b,buy.net,oly5,olympus,em5,5,oly5,olympusomdem5,0.94,,,3.5,4.8,Live MOS,/,/,/
325,5f3ba61e3fd5b671b2200351,buy.net,pan5,panasonic,dmcg5,5,pan5,panasoniclumixdmcg5,0.76,,,3.28,4.72,CMOS,/,/,/
326,5f3ba61e3fd5b671b2200365,buy.net,fuj550,fuji,t550,550,fuj550,fujiblowersfinepixt550,0.27,2.0,12.0,2.2,3.9,CCD,/,/,/
327,5f3ba61e3fd5b671b2200372,buy.net,nik3200,nikon,d3200,3200,nik3200,nikond3200,0.06,,,3.8,4.9,CMOS,/,/,/
328,5f3ba61e3fd5b671b2200388,buy.net,hun550,hunter,x550,550,hun550,hunterbootsx550,0.94,6.0,15.0,2.9,4.0,CCD,/,/,/
329,5f3ba61e3fd5b671b2200389,buy.net,son5,sony,nex5t,5,son5,sonyalphanex5t,,4.0,3.0,,,CMOS,/,/,/
330,5f3ba61e3fd5b671b220038d,buy.net,oly10,olympus,em10,10,oly10,olympusomdem10,0.87,,3.0,3.2,4.7,Live MOS,/,/,/
331,5f3ba61e3fd5b671b220038f,buy.net,can200,canon,sx200,200,can200,canonpowershotsx200,0.48,4.0,12.0,2.4,4.1,CCD,/,/,/
332,5f3ba61e3fd5b671b2200391,buy.net,son100,sony,dscwx100,100,son100,sonycybershotdscwx100,0.24,40.0,10.0,2.1,3.6,Exmor R CMOS,/,/,/
333,5f3ba61e3fd5b671b2200397,buy.net,oly850,olympus,tg850,850,oly850,olympusstylustoughtg850,0.48,4.0,5.0,2.5,4.3,CMOS,/,/,/
334,5f3ba61e3fd5b671b220039d,buy.net,viv46,vivitar,v46,46,viv46,vivitarv46,,4.0,,2.5,3.5,CMOS,/,/,/
335,5f3ba61e3fd5b671b2200242,buy.net,nik340,nikon,p340,340,nik340,nikoncoolplixp340,0.43,4.0,5.0,2.3,4.1,CMOS,/,/,/
336,5f3ba61e3fd5b671b220025b,buy.net,pen1,pentax,mx1,1,pen1,pentaxmx1,0.80,2.0,4.0,2.4,4.8,CMOS,/,/,/
337,5f3ba61e3fd5b671b2200264,buy.net,oly5,olympus,ep5,5,oly5,olympuspenep5,0.83,,,2.71,4.81,CMOS,/,/,/
338,5f3ba61e3fd5b671b2200273,buy.net,nik120,nikon,aw120,120,nik120,nikoncoolpixaw120,0.47,4.0,5.0,2.6,4.4,CMOS,/,/,/
339,5f3ba61e3fd5b671b2200275,buy.net,int14,intova,ic14,14,int14,intovaic14,0.24,6.0,5.0,2.26,3.81,CCD,/,/,/
340,5f3ba61e3fd5b671b2200279,buy.net,oly1,olympus,em1,1,oly1,olympusomdem1,1.09,2.0,,3.7,5.1,CMOS,/,/,/
341,5f3ba61e3fd5b671b220028d,buy.net,pol426,polaroid,is426,426,pol426,polaroidis426,,,,,,,/,/,/
342,5f3ba61e3fd5b671b22002a6,buy.net,pan40,panasonic,dmczs40,40,pan40,panasoniclumixdmczs40,0.03,4.0,30.0,2.53,4.35,CMOS,/,/,/
343,5f3ba61e3fd5b671b22002bc,buy.net,son7,sony,a7,7,son7,sonyalphaa7,1.70,,2.5,,,CMOS,/,/,/
344,5f3ba61e3fd5b671b22002c7,buy.net,oly550,olympus,sp550,550,oly550,olympussp550,,,,,,,/,/,/
345,5f3ba61e3fd5b671b22002ea,buy.net,viv020,vivitar,x020,020,viv020,vivitarvivicamx020,0.04,4.0,3.0,,,,/,/,/
346,5f3ba61e3fd5b671b22002eb,buy.net,nik16,nikon,slr16,16,nik16,nikondffxformatslr16,1.56,,,4.3,5.6,CMOS,/,/,/
347,5f3ba61e3fd5b671b22002f1,buy.net,son800,sony,dscw800,800,son800,sonydscw800,0.29,10.0,5.0,0.88,2.0,CCD,/,/,/
348,5f3ba61e3fd5b671b22002f2,buy.net,fuj1,fujifilm,xm1,1,fuj1,fujifilmxm1,0.62,,,2.6,4.6,CMOS,/,/,/
349,5f3ba61e3fd5b671b2200331,buy.net,nik120,nikon,aw120,120,nik120,nikoncoolpixaw120,0.47,4.0,5.0,2.6,4.4,CMOS,/,/,/
350,5f3ba61e3fd5b671b220033b,buy.net,nik3300,nikon,d3300,3300,nik3300,nikond3300,0.94,,,3.9,4.9,CMOS,/,/,/
351,5f3ba61e3fd5b671b2200358,buy.net,can160,canon,sx160,160,can160,canonpowershotsx160,0.54,4.0,16.0,2.9,4.4,CCD,/,/,/
352,5f3ba61e3fd5b671b220035f,buy.net,fuj550,fujifilm,t550,550,fuj550,fujifilmfinepixt550,0.27,2.0,12.0,2.2,3.9,CCD,/,/,/
353,5f3ba61e3fd5b671b2200367,buy.net,son5000,sony,a5000,5000,son5000,sonya5000,0.46,4.0,3.0,2.5,4.38,CMOS,/,/,/
354,5f3ba61e3fd5b671b2200368,buy.net,nik9700,nikon,s9700,9700,nik9700,nikoncoolpixs9700,0.51,4.0,30.0,2.5,4.3,CMOS,/,/,/
355,5f3ba61e3fd5b671b2200381,buy.net,aip13,aiptek,pcm13,13,aip13,aiptekpencampcm13,0.10,,,1.3,1.2,CMOS,/,/,/
356,5f3ba61e3fd5b671b2200384,buy.net,fuj280,fujifilm,sl280,280,fuj280,fujifilmfinepixsl280,0.07,6.7,28.0,3.7,4.8,CCD,/,/,/
357,5f3ba61e3fd5b671b220038e,buy.net,can5-3,canon,5d,5-3,can5-3,canoneos5d,0.12,,,4.6,6.0,CMOS,/,/,/
358,5f3ba61e3fd5b671b22003a0,buy.net,mus830,mustek,mdc830z,830,mus830,mustekmdc830z,0.30,4.0,3.0,2.2,1.1,CCD,/,/,/
