,key,source,famer_model_list,famer_model_no_list,famer_mpn_list,famer_ean_list,famer_product_name,famer_digital_zoom,famer_optical_zoom,famer_width,famer_height,famer_weight,famer_sensor,famer_brand_list,famer_resolution_from,famer_resolution_to,famer_megapixel
93,5f3ba61e3fd5b671b22004fe,www.camerafarm.com.au,j2,2,/,/,nikon1j2,/,/,0.0,0.0,,CMOS,nikon,/,/,/
94,5f3ba61e3fd5b671b2200501,www.camerafarm.com.au,ex2f,2,/,/,samsungex2f,/,/,0.0,0.0,,,samsung,/,/,/
95,5f3ba61e3fd5b671b2200523,www.camerafarm.com.au,s9600,9600,/,/,nikoncoolpixs9600,/,/,0.0,0.0,,,nikon,/,/,/
96,5f3ba61e3fd5b671b2200524,www.camerafarm.com.au,sx400isr,400,/,/,canonsx400isr,/,/,0.0,0.0,,,canon,/,/,/
97,5f3ba61e3fd5b671b2200527,www.camerafarm.com.au,d800,800,/,/,nikond800,/,/,0.0,0.0,900,CMOS,nikon,/,/,/
98,5f3ba61e3fd5b671b220052f,www.camerafarm.com.au,sx520hs,520,/,/,canonsx520hs,/,/,0.0,0.0,,,canon,/,/,/
99,5f3ba61e3fd5b671b2200537,www.camerafarm.com.au,7d,7,/,/,canoneos7d,/,/,0.0,0.0,,,canon,/,/,/
100,5f3ba61e3fd5b671b2200538,www.camerafarm.com.au,s120bk,120,/,/,canons120bk,/,/,0.0,0.0,,,canon,/,/,/
101,5f3ba61e3fd5b671b2200542,www.camerafarm.com.au,aw120,120,/,/,nikoncoolpixaw120,/,/,0.0,0.0,,,nikon,/,/,/
102,5f3ba61e3fd5b671b220054d,www.camerafarm.com.au,mini8,8,/,/,fujifilminstaxmini8,/,/,0.0,0.0,,,fujifilm,/,/,/
1849,5f3ba61e3fd5b671b22004e4,www.camerafarm.com.au,aw1,1,/,/,nikon1aw1,/,/,0.0,0.0,,CMOS,nikon,/,/,/
1850,5f3ba61e3fd5b671b22004f1,www.camerafarm.com.au,p600,600,/,/,nikoncoolpixp600,/,/,0.0,0.0,,,nikon,/,/,/
1851,5f3ba61e3fd5b671b22004f9,www.camerafarm.com.au,d3100,3100,/,/,nikond3100,/,/,0.0,0.0,,,nikon,/,/,/
1852,5f3ba61e3fd5b671b220050c,www.camerafarm.com.au,j3,3,/,/,nikon1j3,/,/,0.0,0.0,,CMOS,nikon,/,/,/
1853,5f3ba61e3fd5b671b2200514,www.camerafarm.com.au,g16,16,/,/,canong16,/,/,0.0,0.0,,,canon,/,/,/
1854,5f3ba61e3fd5b671b2200517,www.camerafarm.com.au,nx300,300,/,/,samsungnx300,/,/,0.0,0.0,,CMOS,samsung,/,/,/
1855,5f3ba61e3fd5b671b2200525,www.camerafarm.com.au,d7000,7000,/,/,nikond7000,/,/,0.0,0.0,,,nikon,/,/,/
1856,5f3ba61e3fd5b671b2200531,www.camerafarm.com.au,dsctx30b,30,/,/,sonydsctx30b,/,/,0.0,0.0,,,sony,/,/,/
1857,5f3ba61e3fd5b671b2200536,www.camerafarm.com.au,d5100,5100,/,/,nikond5100,/,/,0.0,0.0,560,CMOS,nikon,/,/,/
1858,5f3ba61e3fd5b671b220053e,www.camerafarm.com.au,j2,2,/,/,nikon1j2,/,/,0.0,0.0,,CMOS,nikon,/,/,/
1859,5f3ba61e3fd5b671b2200546,www.camerafarm.com.au,j2,2,/,/,nikon1j2,/,/,0.0,0.0,,CMOS,nikon,/,/,/
3640,5f3ba61e3fd5b671b22004e1,www.camerafarm.com.au,ixus145bk,145,/,/,canonixus145bk,/,/,9.5,5.4,127,,canon,/,/,/
3641,5f3ba61e3fd5b671b22004e9,www.camerafarm.com.au,s3600,3600,/,/,nikoncoolpixs3600,/,/,0.0,0.0,,,nikon,/,/,/
3642,5f3ba61e3fd5b671b22004f6,www.camerafarm.com.au,s2800,2800,/,/,nikoncoolpixs2800,/,/,0.0,0.0,,,nikon,/,/,/
3643,5f3ba61e3fd5b671b22004ff,www.camerafarm.com.au,vna230ha,230,/,/,nikoncoolpixacameravna230ha,/,/,0.0,0.0,,,nikon,/,/,/
3644,5f3ba61e3fd5b671b2200504,www.camerafarm.com.au,ixus145pr,145,/,/,canonixus145pr,/,/,9.5,5.4,127,,canon,/,/,/
3645,5f3ba61e3fd5b671b2200513,www.camerafarm.com.au,70dsk,70,/,/,canon70dsk,/,/,13.9,10.4,755.0,,canon,/,/,/
3646,5f3ba61e3fd5b671b220051f,www.camerafarm.com.au,vna231ha,231,/,/,nikoncoolpixacameravna231ha,/,/,0.0,0.0,,,nikon,/,/,/
3647,5f3ba61e3fd5b671b2200543,www.camerafarm.com.au,j3,3,/,/,nikon1j3,/,/,0.0,0.0,,CMOS,nikon,/,/,/
3648,5f3ba61e3fd5b671b2200553,www.camerafarm.com.au,dschx300,300,/,/,sonydschx300,/,/,0.0,0.0,,,sony,/,/,/
5411,5f3ba61e3fd5b671b22004f0,www.camerafarm.com.au,s32,32,/,/,nikoncoolpixs32,/,/,0.0,0.0,,,nikon,/,/,/
5412,5f3ba61e3fd5b671b2200509,www.camerafarm.com.au,ixus150gy,150,/,/,canonixus150gy,/,/,9.5,5.4,130,,canon,/,/,/
5413,5f3ba61e3fd5b671b220050d,www.camerafarm.com.au,ixus155r,155,/,/,canonixus155r,/,/,0.0,0.0,,,canon,/,/,/
5414,5f3ba61e3fd5b671b220051d,www.camerafarm.com.au,ixus145r,145,/,/,canonixus145r,/,/,9.5,5.4,127,,canon,/,/,/
5415,5f3ba61e3fd5b671b2200532,www.camerafarm.com.au,d7000,7000,/,/,nikond7000,/,/,0.0,0.0,,,nikon,/,/,/
5416,5f3ba61e3fd5b671b2200535,www.camerafarm.com.au,l830,830,/,/,nikoncoolpixl830,/,/,0.0,0.0,,,nikon,/,/,/
5417,5f3ba61e3fd5b671b2200545,www.camerafarm.com.au,s3600,3600,/,/,nikoncoolpixs3600,/,/,0.0,0.0,,,nikon,/,/,/
7123,5f3ba61e3fd5b671b22004eb,www.camerafarm.com.au,w830,830,/,/,sonycybershotw830,/,/,0.0,0.0,,,sony,/,/,/
7124,5f3ba61e3fd5b671b2200505,www.camerafarm.com.au,600d,600,/,/,canoneos600d,/,/,0.0,0.0,,,canon,/,/,/
7125,5f3ba61e3fd5b671b220050b,www.camerafarm.com.au,nx300,300,/,/,samsungnx300,/,/,0.0,0.0,,CMOS,samsung,/,/,/
7126,5f3ba61e3fd5b671b2200518,www.camerafarm.com.au,70d,70,/,/,canoneos70d,/,/,13.9,10.4,755.0,,canon,/,/,/
7127,5f3ba61e3fd5b671b2200519,www.camerafarm.com.au,nx300,300,/,/,samsungnx300,/,/,0.0,0.0,,CMOS,samsung,/,/,/
7128,5f3ba61e3fd5b671b2200551,www.camerafarm.com.au,sx170,170,/,/,canonpowershotsx170,/,/,0.0,0.0,,,canon,/,/,/
8846,5f3ba61e3fd5b671b22004dd,www.camerafarm.com.au,70d,70,/,/,canoneos70d,/,/,13.9,10.4,755.0,,canon,/,/,/
8847,5f3ba61e3fd5b671b22004ed,www.camerafarm.com.au,s9600,9600,/,/,nikoncoolpixs9600,/,/,0.0,0.0,,,nikon,/,/,/
8848,5f3ba61e3fd5b671b22004f4,www.camerafarm.com.au,p7800,7800,/,/,nikoncoolpixp7800,/,/,0.0,0.0,,,nikon,/,/,/
8849,5f3ba61e3fd5b671b220050f,www.camerafarm.com.au,d5100,5100,/,/,nikond5100,/,/,0.0,0.0,560,CMOS,nikon,/,/,/
8850,5f3ba61e3fd5b671b220051c,www.camerafarm.com.au,70dkis,70,/,/,canon70dkis,/,/,13.9,10.4,755.0,,canon,/,/,/
8851,5f3ba61e3fd5b671b220052d,www.camerafarm.com.au,1100d,1100,/,/,canoneos1100d,/,/,0.0,0.0,,,canon,/,/,/
8852,5f3ba61e3fd5b671b2200533,www.camerafarm.com.au,600d,600,/,/,canoneos600d,/,/,0.0,0.0,,,canon,/,/,/
8853,5f3ba61e3fd5b671b2200534,www.camerafarm.com.au,sx600hsr,600,/,/,canonsx600hsr,/,/,0.0,0.0,,,canon,/,/,/
8854,5f3ba61e3fd5b671b2200548,www.camerafarm.com.au,1100d,1100,/,/,canoneos1100d,/,/,0.0,0.0,,,canon,/,/,/
8855,5f3ba61e3fd5b671b220054b,www.camerafarm.com.au,aw120,120,/,/,nikoncoolpixaw120,/,/,0.0,0.0,,,nikon,/,/,/
8856,5f3ba61e3fd5b671b2200550,www.camerafarm.com.au,s6800,6800,/,/,nikoncoolpixs6800,/,/,0.0,0.0,,,nikon,/,/,/
10604,5f3ba61e3fd5b671b22004e3,www.camerafarm.com.au,dschx60v,60,/,/,sonydschx60v,/,/,0.0,0.0,,,sony,/,/,/
10605,5f3ba61e3fd5b671b22004f3,www.camerafarm.com.au,2,2,/,/,samsunggalaxycamera2,/,/,0.0,0.0,,,samsung,/,/,/
10606,5f3ba61e3fd5b671b22004fa,www.camerafarm.com.au,ixus155s,155,/,/,canonixus155s,/,/,0.0,0.0,,,canon,/,/,/
10607,5f3ba61e3fd5b671b22004fb,www.camerafarm.com.au,ixus155bl,155,/,/,canonixus155bl,/,/,0.0,0.0,,,canon,/,/,/
10608,5f3ba61e3fd5b671b2200500,www.camerafarm.com.au,d90,90,/,/,nikond90,/,/,0.0,0.0,,,nikon,/,/,/
10609,5f3ba61e3fd5b671b2200502,www.camerafarm.com.au,s110bk,110,/,/,canons110bk,/,/,0.0,0.0,,,canon,/,/,/
10610,5f3ba61e3fd5b671b2200503,www.camerafarm.com.au,ixus150r,150,/,/,canonixus150r,/,/,9.5,5.4,130,,canon,/,/,/
10611,5f3ba61e3fd5b671b2200507,www.camerafarm.com.au,s32,32,/,/,nikoncoolpixs32,/,/,0.0,0.0,,,nikon,/,/,/
10612,5f3ba61e3fd5b671b2200511,www.camerafarm.com.au,dscrx10,10,/,/,sonydscrx10,/,/,0.0,0.0,,,sony,/,/,/
10613,5f3ba61e3fd5b671b2200522,www.camerafarm.com.au,s9600,9600,/,/,nikoncoolpixs9600,/,/,0.0,0.0,,,nikon,/,/,/
10614,5f3ba61e3fd5b671b2200540,www.camerafarm.com.au,d7000,7000,/,/,nikond7000,/,/,0.0,0.0,,,nikon,/,/,/
12368,5f3ba61e3fd5b671b22004e0,www.camerafarm.com.au,sx600hsbk,600,/,/,canonsx600hsbk,/,/,0.0,0.0,,,canon,/,/,/
12369,5f3ba61e3fd5b671b22004e5,www.camerafarm.com.au,d7000,7000,/,/,nikond7000,/,/,0.0,0.0,,,nikon,/,/,/
12370,5f3ba61e3fd5b671b22004e6,www.camerafarm.com.au,p600,600,/,/,nikoncoolpixp600,/,/,0.0,0.0,,,nikon,/,/,/
12371,5f3ba61e3fd5b671b22004f8,www.camerafarm.com.au,s2800,2800,/,/,nikoncoolpixs2800,/,/,0.0,0.0,,,nikon,/,/,/
12372,5f3ba61e3fd5b671b2200526,www.camerafarm.com.au,s2800,2800,/,/,nikoncoolpixs2800,/,/,0.0,0.0,,,nikon,/,/,/
12373,5f3ba61e3fd5b671b220052a,www.camerafarm.com.au,g7x,7,/,/,canong7x,/,/,0.0,0.0,,,canon,/,/,/
12374,5f3ba61e3fd5b671b220052c,www.camerafarm.com.au,w830,830,/,/,sonycybershotw830,/,/,0.0,0.0,,,sony,/,/,/
12375,5f3ba61e3fd5b671b2200530,www.camerafarm.com.au,sx400isbk,400,/,/,canonsx400isbk,/,/,0.0,0.0,,,canon,/,/,/
12376,5f3ba61e3fd5b671b2200539,www.camerafarm.com.au,j2,2,/,/,nikon1j2,/,/,0.0,0.0,,CMOS,nikon,/,/,/
12377,5f3ba61e3fd5b671b220053b,www.camerafarm.com.au,p340,340,/,/,nikoncoolpixp340,/,/,0.0,0.0,,,nikon,/,/,/
12378,5f3ba61e3fd5b671b2200541,www.camerafarm.com.au,aw1,1,/,/,nikon1aw1,/,/,0.0,0.0,,CMOS,nikon,/,/,/
12379,5f3ba61e3fd5b671b2200547,www.camerafarm.com.au,dscw710p,710,/,/,sonydscw710p,/,/,0.0,0.0,,,sony,/,/,/
12380,5f3ba61e3fd5b671b220054a,www.camerafarm.com.au,xz2,2,/,/,olympusxz2,/,/,0.0,0.0,,,olympus,/,/,/
12381,5f3ba61e3fd5b671b220054c,www.camerafarm.com.au,60d,60,/,/,canoneos60d,/,/,0.0,0.0,,,canon,/,/,/
12382,5f3ba61e3fd5b671b2200552,www.camerafarm.com.au,d3100,3100,/,/,nikond3100,/,/,0.0,0.0,,,nikon,/,/,/
14164,5f3ba61e3fd5b671b220050a,www.camerafarm.com.au,sx60hs,60,/,/,canonsx60hs,/,/,0.0,0.0,,,canon,/,/,/
14165,5f3ba61e3fd5b671b220050e,www.camerafarm.com.au,d3100,3100,/,/,nikond3100,/,/,0.0,0.0,,,nikon,/,/,/
14166,5f3ba61e3fd5b671b2200510,www.camerafarm.com.au,l830,830,/,/,nikoncoolpixl830,/,/,0.0,0.0,,,nikon,/,/,/
14167,5f3ba61e3fd5b671b2200512,www.camerafarm.com.au,60d,60,/,/,canoneos60d,/,/,0.0,0.0,,,canon,/,/,/
14168,5f3ba61e3fd5b671b2200528,www.camerafarm.com.au,rx100,100-3,/,/,sonycybershotrx100,/,/,0.0,0.0,,,sony,/,/,/
14169,5f3ba61e3fd5b671b220052e,www.camerafarm.com.au,d3100,3100,/,/,nikond3100,/,/,0.0,0.0,,,nikon,/,/,/
14170,5f3ba61e3fd5b671b220053a,www.camerafarm.com.au,sx40hs,40,/,/,canonsx40hs,/,/,0.0,0.0,,,canon,/,/,/
14171,5f3ba61e3fd5b671b220054e,www.camerafarm.com.au,nx300,300,/,/,samsungnx300,/,/,0.0,0.0,,CMOS,samsung,/,/,/
15889,5f3ba61e3fd5b671b22004ea,www.camerafarm.com.au,dscw810,810.0,/,/,sonydscw810,/,/,0.0,0.0,,,sony,/,/,/
15890,5f3ba61e3fd5b671b22004f2,www.camerafarm.com.au,j3,3.0,/,/,nikon1j3,/,/,0.0,0.0,,CMOS,nikon,/,/,/
15891,5f3ba61e3fd5b671b22004f7,www.camerafarm.com.au,j2,2.0,/,/,nikon1j2,/,/,0.0,0.0,,CMOS,nikon,/,/,/
15892,5f3ba61e3fd5b671b22004fd,www.camerafarm.com.au,600d,600.0,/,/,canoneos600d,/,/,0.0,0.0,,,canon,/,/,/
15893,5f3ba61e3fd5b671b2200529,www.camerafarm.com.au,sx700hsr,700.0,/,/,canonsx700hsr,/,/,0.0,0.0,,,canon,/,/,/
15894,5f3ba61e3fd5b671b2200549,www.camerafarm.com.au,s9700,9700.0,/,/,nikoncoolpixs9700,/,/,0.0,0.0,,,nikon,/,/,/
15895,5f3ba61e3fd5b671b220054f,www.camerafarm.com.au,aw1,1.0,/,/,nikon1aw1,/,/,0.0,0.0,,CMOS,nikon,/,/,/
17624,5f3ba61e3fd5b671b22004df,www.camerafarm.com.au,sx700,700,/,/,canonpowershotsx700,/,/,0.0,0.0,,,canon,/,/,/
17625,5f3ba61e3fd5b671b22004e2,www.camerafarm.com.au,s6800,6800,/,/,nikoncoolpixs6800,/,/,0.0,0.0,,,nikon,/,/,/
17626,5f3ba61e3fd5b671b22004e7,www.camerafarm.com.au,st600,600,/,/,samsungst600,/,/,0.0,0.0,147.2,,samsung,/,/,/
17627,5f3ba61e3fd5b671b22004ec,www.camerafarm.com.au,l830,830,/,/,nikoncoolpixl830,/,/,0.0,0.0,,,nikon,/,/,/
17628,5f3ba61e3fd5b671b22004ee,www.camerafarm.com.au,xz10,10,/,/,olympusxz10,/,/,0.0,0.0,,,olympus,/,/,/
17629,5f3ba61e3fd5b671b22004ef,www.camerafarm.com.au,s32,32,/,/,nikoncoolpixs32,/,/,0.0,0.0,,,nikon,/,/,/
17630,5f3ba61e3fd5b671b2200506,www.camerafarm.com.au,s3600,3600,/,/,nikoncoolpixs3600,/,/,0.0,0.0,,,nikon,/,/,/
17631,5f3ba61e3fd5b671b2200515,www.camerafarm.com.au,aw120,120,/,/,nikoncoolpixaw120,/,/,0.0,0.0,,,nikon,/,/,/
17632,5f3ba61e3fd5b671b220051b,www.camerafarm.com.au,s2800,2800,/,/,nikoncoolpixs2800,/,/,0.0,0.0,,,nikon,/,/,/
17633,5f3ba61e3fd5b671b220051e,www.camerafarm.com.au,d5100,5100,/,/,nikond5100,/,/,0.0,0.0,560,CMOS,nikon,/,/,/
17634,5f3ba61e3fd5b671b220053d,www.camerafarm.com.au,s6800,6800,/,/,nikoncoolpixs6800,/,/,0.0,0.0,,,nikon,/,/,/
17635,5f3ba61e3fd5b671b220053f,www.camerafarm.com.au,em5,5,/,/,olympusomdem5,/,/,12.1,8.9,425,LiveMOS,olympus,/,/,/
17636,5f3ba61e3fd5b671b2200544,www.camerafarm.com.au,p530,530,/,/,nikoncoolpixp530,/,/,0.0,0.0,,,nikon,/,/,/
19388,5f3ba61e3fd5b671b22004dc,www.camerafarm.com.au,s200bk,200,/,/,canons200bk,/,/,0.0,0.0,,,canon,/,/,/
19389,5f3ba61e3fd5b671b22004de,www.camerafarm.com.au,dscw810,810,/,/,sonydscw810,/,/,0.0,0.0,,,sony,/,/,/
19390,5f3ba61e3fd5b671b22004e8,www.camerafarm.com.au,d7000,7000,/,/,nikond7000,/,/,0.0,0.0,,,nikon,/,/,/
19391,5f3ba61e3fd5b671b22004f5,www.camerafarm.com.au,d7000,7000,/,/,nikond7000,/,/,0.0,0.0,,,nikon,/,/,/
19392,5f3ba61e3fd5b671b22004fc,www.camerafarm.com.au,j3,3,/,/,nikon1j3,/,/,0.0,0.0,,CMOS,nikon,/,/,/
19393,5f3ba61e3fd5b671b2200508,www.camerafarm.com.au,l29,29,/,/,nikoncoolpixl29,/,/,0.0,0.0,,,nikon,/,/,/
19394,5f3ba61e3fd5b671b2200516,www.camerafarm.com.au,s3600,3600,/,/,nikoncoolpixs3600,/,/,0.0,0.0,,,nikon,/,/,/
19395,5f3ba61e3fd5b671b220051a,www.camerafarm.com.au,j2,2,/,/,nikon1j2,/,/,0.0,0.0,,CMOS,nikon,/,/,/
19396,5f3ba61e3fd5b671b2200520,www.camerafarm.com.au,j3,3,/,/,nikon1j3,/,/,0.0,0.0,,CMOS,nikon,/,/,/
19397,5f3ba61e3fd5b671b2200521,www.camerafarm.com.au,1100d,1100,/,/,canoneos1100d,/,/,0.0,0.0,,,canon,/,/,/
19398,5f3ba61e3fd5b671b220052b,www.camerafarm.com.au,aw120,120,/,/,nikoncoolpixaw120,/,/,0.0,0.0,,,nikon,/,/,/
19399,5f3ba61e3fd5b671b220053c,www.camerafarm.com.au,g1,1,/,/,canonpowershotg1,/,/,0.0,0.0,,,canon,/,/,/
